epoch,train_loss,train_accuracy,validation_loss,validation_accuracy
1,1.3924238019943238,0.54744,19.117005328369142,0.3982
2,0.8513710446357727,0.71058,0.888320878982544,0.7005
3,0.6712254215812683,0.7701,0.7698929759979248,0.7373
4,0.593910270690918,0.79516,0.8570163814544678,0.7211
5,0.5450385257339477,0.81088,0.764266259765625,0.752
6,0.5109903991889954,0.82352,0.6766775157928466,0.7746
7,0.49831675952911375,0.8276,0.5897956463813782,0.804
8,0.4594553551197052,0.83852,0.6250728590965271,0.7912
9,0.4427209629917145,0.8441,0.5931203947067261,0.8021
10,0.4173885187530518,0.85138,0.661140034866333,0.7902
11,0.41937773950576784,0.853,0.561034416770935,0.8104
12,0.41374043869972227,0.85686,0.5752735213279724,0.8057
13,0.4053593827342987,0.85784,0.543955400943756,0.8215
14,0.37233708802223203,0.86956,0.5817350564002991,0.8105
15,0.368321142578125,0.871,0.5480336657524109,0.8199
16,0.3650905732345581,0.8718,0.5812496993064881,0.8117
17,0.34979516807556155,0.87706,0.5553899285316467,0.8207
18,0.35420236735343935,0.87568,0.5674616165161133,0.8137
19,0.337732318315506,0.88148,0.5312721539497376,0.8265
20,0.33457530220985415,0.88288,0.559173256111145,0.8215
21,0.332631583404541,0.88326,0.5642967299461364,0.8236
22,0.32663742453575134,0.88574,0.6195756600379944,0.8045
23,0.3190923694896698,0.88712,0.5966253351211548,0.8168
24,0.32574588549613953,0.88582,0.5861528186798096,0.8102
25,0.31285158136367797,0.89054,0.6107663694381714,0.8078
26,0.3185023427391052,0.88686,0.6204365440368652,0.7968
27,0.29895876900672913,0.89472,0.5256764269828796,0.8346
28,0.2966868816757202,0.8956,0.6674859846115112,0.7947
29,0.29620749855041506,0.89654,0.5934524363517761,0.8157
30,0.30202057854652403,0.8934,0.5840195433616638,0.8178
31,0.28837212520599365,0.89926,0.6083370250701904,0.8155
32,0.28286021492004393,0.89946,0.5834417315483094,0.8154
33,0.2795927395343781,0.90092,0.5926489275932312,0.8184
34,0.27973626834869386,0.9016,0.5940920518875122,0.8192
35,0.27991112330436707,0.90228,0.5552729281425476,0.8193
36,0.28499692661285403,0.89984,0.670129144859314,0.8015
37,0.27406183924674987,0.90214,0.6541946647644042,0.8058
38,0.27427632068634034,0.90218,0.6072172492980957,0.8166
39,0.2696167870521545,0.9054,0.5923047556877136,0.8222
40,0.26467330156326296,0.9061,0.5980525618553162,0.821
41,0.18965475121021272,0.93338,0.4324440649986267,0.8679
42,0.13832489384174346,0.95098,0.45081677350997923,0.8715
43,0.12232545688152313,0.95708,0.4777935881614685,0.8715
44,0.10833716492414475,0.962,0.48201955165863036,0.8739
45,0.09882352977514267,0.96564,0.49406552133560183,0.8754
46,0.09381296600580215,0.96696,0.49604973754882814,0.8756
47,0.08689615659475326,0.96982,0.4965078405380249,0.8718
48,0.07978487085103989,0.97264,0.4979136629104614,0.8751
49,0.07618905205249786,0.9737,0.5071266273498535,0.8731
50,0.07353400868654252,0.97398,0.5145664004325867,0.8716
51,0.06995285492181778,0.97558,0.5105959664344788,0.8741
52,0.06488217710971832,0.97762,0.5175496804237366,0.8748
53,0.06364057183742523,0.97736,0.521803338432312,0.8718
54,0.059678162500858306,0.97948,0.5307593205451965,0.8725
55,0.05832330510377884,0.97962,0.5251109630584717,0.8779
56,0.05600748201370239,0.98092,0.5298522011756897,0.8749
57,0.05043650800466538,0.98262,0.5487631205558777,0.8742
58,0.05055980141878128,0.98258,0.5398263489723205,0.8755
59,0.047789667830467224,0.98398,0.5568781018257141,0.8722
60,0.0458477916932106,0.98476,0.5643789698600769,0.8726
61,0.043913780796527864,0.9849,0.5657261985778809,0.8719
62,0.044256074571609495,0.98496,0.5800337416648865,0.8682
63,0.04465947103083134,0.98448,0.5724625359535217,0.8716
64,0.04173175215244293,0.98574,0.577145661354065,0.8704
65,0.03802518247485161,0.98704,0.5805485809326172,0.8708
66,0.03748980212330818,0.987,0.5755449266433715,0.873
67,0.03702847312688828,0.9874,0.5877561527252197,0.8691
68,0.035156955918073655,0.98794,0.5803039691925049,0.8725
69,0.0358473187828064,0.98734,0.5786768301010132,0.8746
70,0.03299644498705864,0.98868,0.5895182731628418,0.8751
71,0.03345328353524208,0.98888,0.5988638139724731,0.8721
72,0.03340682249188423,0.98826,0.6052130900382996,0.8714
73,0.030215886740684508,0.99032,0.6061512434959412,0.8736
