epoch,train_loss,train_accuracy,validation_loss,validation_accuracy
1,1.8084182402038573,0.39586,2.1925374755859375,0.2711
2,1.5084648999404908,0.48582,1.3697417430877685,0.5566
3,1.188670592727661,0.58758,1.093127963066101,0.633
4,0.9651581538009644,0.6622,0.9165081981658936,0.6841
5,0.8501883607673645,0.70122,0.9337540695190429,0.6826
6,0.7800350462913513,0.7285,0.9177472230911254,0.6875
7,0.7249348816108704,0.74904,0.771027130317688,0.7295
8,0.6852884964370728,0.76208,0.7383926297187805,0.7493
9,0.6554030504226684,0.77096,0.7039381383895874,0.7568
10,0.6178994402313233,0.78478,0.7181243541717529,0.7573
11,0.6183388373756409,0.78552,0.9125880722045898,0.6961
12,0.6142633702468872,0.78702,0.6402426025390625,0.7831
13,0.5673245161437989,0.80248,0.7112157894134521,0.7622
14,0.5470370118713379,0.80788,0.6503435503005981,0.7754
15,0.5372374298858642,0.81184,0.697940828037262,0.7646
16,0.528399050579071,0.81714,0.6751546359062195,0.7736
17,0.5114835276031494,0.82132,0.5697895079612731,0.807
18,0.5034462598609925,0.82366,0.6413258198738098,0.784
19,0.5014116862869262,0.82532,0.7629941162109375,0.7492
20,0.5006045617675782,0.8256,0.641770412158966,0.7824
21,0.47523466478347776,0.83574,0.6512067095756531,0.7777
22,0.4774077505302429,0.83414,0.6234933536529541,0.7909
23,0.47770477416992185,0.83324,0.6065220252990723,0.7908
24,0.4709488169002533,0.83608,0.6421613774299622,0.7838
25,0.46878934294700625,0.83694,0.6474130098342895,0.7887
26,0.4458591244888306,0.84516,0.6720132488250733,0.7837
27,0.44967179679870606,0.84236,0.5761115135192871,0.807
28,0.4432624438095093,0.84562,0.6177621745109558,0.7955
29,0.449409338092804,0.84398,0.646721549987793,0.7804
30,0.4398730533218384,0.846,0.6302865475654602,0.7831
31,0.4313088916683197,0.84756,0.6823146419525147,0.7721
32,0.43971341738700864,0.84624,0.616790290260315,0.7986
33,0.4251545233440399,0.85152,0.6122381057739258,0.7952
34,0.42542274498939514,0.85326,0.6503509446144105,0.7932
35,0.41498638872146604,0.8546,0.6332152158737182,0.7966
36,0.4137131389427185,0.85302,0.5971470266342163,0.8054
37,0.4104518320655823,0.85724,0.5877712193489075,0.8024
38,0.4118567940807343,0.85562,0.6599123094558715,0.7896
39,0.42142161531448363,0.85232,0.5584819421768189,0.8135
40,0.4115938863658905,0.85678,0.612721936416626,0.8017
41,0.30027743886947633,0.89616,0.43219896869659424,0.8572
42,0.24942008518695832,0.91262,0.43179557757377623,0.8585
43,0.23322021655082703,0.91792,0.43859026026725767,0.8605
44,0.2159228680896759,0.9254,0.44190485854148864,0.8615
45,0.20930510707855224,0.9262,0.4374235893249512,0.8655
46,0.20069452053546905,0.93026,0.44016094841957093,0.8686
47,0.19161987545490264,0.9319,0.4466508454799652,0.8664
48,0.18659770558834077,0.93412,0.44279817361831664,0.8646
49,0.1801154894399643,0.93676,0.4518365748405457,0.862
50,0.16895964183807374,0.94052,0.44852318592071533,0.8652
51,0.1671237771177292,0.9412,0.4628023483276367,0.8649
52,0.1670728993463516,0.94126,0.4506607421875,0.8677
53,0.15527590686321258,0.94672,0.46501902918815613,0.8651
54,0.15378218181610107,0.94608,0.4618473909378052,0.8658
55,0.14654582640647887,0.9491,0.47346432886123657,0.8647
56,0.14339549558639528,0.94926,0.4691077164649963,0.8678
57,0.14247515258789062,0.94922,0.48260468654632566,0.8653
58,0.13881067703247071,0.9517,0.48206173429489135,0.8634
59,0.13368291919708253,0.95316,0.4790451795578003,0.8655
60,0.12571595427513121,0.9562,0.4940413559913635,0.8646
61,0.127538586769104,0.95498,0.49514689197540285,0.8631
62,0.11994126388549804,0.95814,0.49788210763931273,0.8624
63,0.11839498456954956,0.9583,0.49211834783554076,0.8681
64,0.1178976251745224,0.95832,0.5010675475120544,0.8643
65,0.116155185379982,0.95904,0.5090979553222656,0.8641
66,0.11403452810049057,0.96022,0.5124946912765503,0.8652
67,0.10884835076332092,0.96186,0.5221010005950928,0.8636
68,0.11210927008152008,0.96006,0.5116915099143982,0.8631
69,0.10516387629032135,0.96348,0.52287197265625,0.8639
70,0.103148610663414,0.964,0.5198649861335755,0.8662
71,0.10241281635761261,0.96392,0.52491643075943,0.8648
72,0.09679071549892425,0.96568,0.5330514881134033,0.8623
73,0.09691162076711654,0.96516,0.5340007893562317,0.8628
74,0.09897944256067276,0.96516,0.5253776502609253,0.8655
75,0.09618984483003616,0.9665,0.5399796516418457,0.8629
76,0.09238697414159774,0.96708,0.543451370716095,0.8626
77,0.09072421180725097,0.968,0.5493333793640137,0.8598
78,0.09235448466777801,0.96778,0.549736755657196,0.8625
79,0.08962567354679107,0.9683,0.5490742959976196,0.8607
80,0.08993197932720184,0.96896,0.5535227538108826,0.8595
81,0.08425294546365739,0.97146,0.5571560350418091,0.8619
82,0.0816459640288353,0.97174,0.5439690916061402,0.8611
83,0.08483531054735184,0.97132,0.559064716720581,0.86
84,0.08194920083999634,0.9712,0.5457733493804932,0.8634
85,0.08597324868917465,0.96964,0.5805210825920105,0.8574
86,0.07898801698207855,0.97194,0.5758854241371155,0.8571
87,0.08439423534154893,0.97086,0.5701753768920899,0.8636
88,0.08099804748892785,0.97164,0.5679615999221802,0.8597
89,0.07809994195938111,0.97254,0.5770124053955078,0.8597
